Name,Borough,Total,Location,Landlord,Developer,Architect,ITLA,Ballot Status,Planning Status,Image
Yeading Lane 2 estate,ealing,150,"[51.531224,-0.381707]",LB Ealing,,,,,,estates/src/images/yeadinglane2.png
,
Yeading Lane 1 estate,ealing,500,"[51.533307,-0.394019]",LB Ealing,,,,Required,,estates/src/images/yeadinglane.png
,
Wornington Green estate,kensingtonandchelsea,150,"[51.523537,-0.212212]",RBKC,Catalyst Housing Association,PRP/Conran,Newman Francis,Exempt,Approved,estates/src/images/worning1.jpg
,
Woodberry Down estate,hackney,1000,"[51.572949,-0.090658]",Hackney Council,Berkeley Homes,Fletcher Priest/WE/SEH,Simon Slater (Public Voice),Exempt,Approved,estates/src/images/woodberry-down-5.jpg
,
Winstanley &amp; York Road estates,wandsworth,759,"[51.464762,-0.176427]",Wandsworth Council,Taylor Wimpey,HTA,,Exempt,Approved,estates/src/images/wy22.jpg
,
Whitefield estate,barnet,243,"[51.572426,-0.219515]",Barnet Council,Argent/L&amp;Q,Maccreanor Lavington,PEP,Exempt,Approved,estates/src/images/whitefield3.jpg
,
West Kentish Town estate,camden,316,"[51.549409,-0.149254]",Camden Council,LB Camden,AHMM,LB Camden,Approved,application not yet submitted,estates/src/images/wkt1.jpg
,
Westbury estate,lambeth,82,"[51.470468,-0.140646]",Lambeth Council,LB Lambeth,EPR,Newman Francis,Exempt,Approved,estates/src/images/wb1.jpg
,
Wessex Close estate,kingston,120,"[51.412340, -0.281306]",RB Kingston,,,,Exempt,,estates/src/images/wessexclose.png
,
Wendling estate,camden,241,"[51.551117,-0.156132]",Camden Council,TBC,,Community Liaison Officers (Camden),Approved,Pending,estates/src/images/wg5.jpg
,
Waterloo Road estate,havering,290,"[51.574334,0.176900]",Havering Council,Wates,Flanagan Lawrence,TPAS,Exempt,Approved,estates/src/images/w2.png
,
Walbrook House,enfield,126,"[51.628832,-0.045066]",LB Enfield,,,,,,estates/src/images/walbrook.png
,
Tustin estate,southwark,298,"[51.480339,-0.054867]",Southwark Council,Buoyges,DRMM,Open Communities/Neal Purvis,Approved,Approved,estates/src/images/tustin5.jpeg
,
Trinity Way estate,ealing,150,"[51.512025,-0.247614]",LB Ealing,,,,,,estates/src/images/trinityway.png
,
Toplocks estate,ealing,150,"[51.501843,-0.364982]",Unknown RSL,,,,,,estates/src/images/toplocks.png
,
Thames View estate,barkinganddagenham,100,"[51.528893,0.109535]",Barking and Dagenham Council,BeFirst,,,Exempt,Approved,estates/src/images/tv1.png
,
Lesnes estate (Thamesmead East phase 2),bexley,596,"[51.495310,0.126122]",Peabody,Peabody,,Communities First,Approved,Approved,estates/src/images/thamesmeadeast.jpg
,
Teviot estate,towerhamlets,535,"[51.518195,-0.012409]",Poplar HARCA,Hill,BPTW,Mike Tyrell,Approved,Pending,estates/src/images/te4.jpg
,
Sutton Court estate,sutton,150,"[51.3577,-0.1901]",Sutton Council,,,,,,estates/src/images/suttoncourt.jpg
,
St John&#39;s estate,towerhamlets,84,"[51.499039,-0.008984]",One Housing Group,,,TPAS,Approved,Approved,estates/src/images/ashepherd.jpg
,
Stellar House &amp; Atlair Close,haringey,300,"[51.608284,-0.066563]",Haringey Council,,,,Required,Pending,estates/src/images/stellar.png
,
Southwold Drive,barkinganddagenham,80,"[51.547526, 0.108163]",Barking and Dagenham Council,,,,,,estates/src/images/southwolddrive.png
,
South Lane estate,kingston,130,"[51.386237, -0.256749]",RB Kingston,,,,Exempt,,estates/src/images/southlane.png
,
South Lambeth estate,lambeth,101,"[51.478668,-0.118861]",Lambeth Council,,Pollard Thomas Edwards,TPAS,Exempt,Approved,estates/src/images/slb5.jpg
,
South Kilburn estate,brent,800,"[51.533219,-0.198561]",Brent Council,Countryside,Alison Brooks,Communities First,Approved,Approved,estates/src/images/skil2.jpg
,
South Acton estate,ealing,2100,"[51.502295,-0.272799]",Ealing Council,Countryside Properties,,PEP,Exempt,Approved,estates/src/images/sacton9.jpg
,
Shires estate,enfield,200,"[51.61517,-0.05349]",Enfield Council,,,,,,estates/src/images/shropshire.png
,
Shipton Close estate,barkinganddagenham,60,"[51.55621041452271, 0.1287404051072312]",Barking and Dagenham Council,BeFirst?,,,Exempt?,,estates/src/images/shiptonclose.png
,
Sheephouse Way estate,kingston,120,"[51.384434, -0.264362]",RB Kingston,,,,Exempt,,estates/src/images/sheephouseway.png
,
Severn Way,brent,50,"[51.552401,-0.246721]",Brent Council,,,,Exempt,,estates/src/images/Severn_way3LS.jpg
,
Savona estate,wandsworth,130,"[51.478880,-0.142430]",LB Wandsworth,,,,Exempt,,estates/src/images/savona2.jpg
,
Samuda estate,towerhamlets,317,"[51.496571,-0.008458]",One Housing Group,,,Open Communities,pending,pending,estates/src/images/kelson.png
,
Saltford Close estate,bexley,150,"[51.481231, 0.178457]",,,,,Required?,Masterplan pending,estates/src/images/saltfordclose.png
,
Royal Jubilee Court,havering,52,"[51.585675,0.193341]",Havering Council,Wates,,TPAS,,,estates/src/images/royaljubileeaerial.jpg
,
Roseberry Gardens estate,sutton,150,"[51.3679,-0.1929]",Sutton Council,,,,Required,,estates/src/images/roseberry3.jpg
,
Regina Road estate,croydon,191,"[51.400864,-0.069866]",Croydon Council,,,,Pending,Pending,estates/src/images/reginaroad.jpg
,
Rainham Road,barkinganddagenham,100,"[51.547412,0.164733]",Barking and Dagenham Council,BeFirst,,,Exempt,Approved,estates/src/images/rroad2.png
,
RAF Uxbridge estate,hillingdon,89,"[51.545461, -0.470859]",Hillingdon Council,,,,Exempt,,estates/src/images/rafuxbridge.png
,
Pike Close estate,bromley,100,"[51.421991,0.021446]",Riverside Housing Association,Countryside Properties,HTA,Source Partnership,Approved,Approved,estates/src/images/pclose2.png
,
Oriel estate,hounslow,300,"[51.435475,-0.390207]",Hounslow Council,,,,Required,Pending,estates/src/images/or4.jpg
,
Oldchurch Gardens estate,havering,84,"[51.568833,0.175872]",Havering Council,Wates,,TPAS,Exempt,Pending,estates/src/images/oc3.png
,
OCCC estate,lambeth,100,"[51.503522,-0.109505]",Grainger,Grainger,,,Exempt,Approved,estates/src/images/occc.png
,
Oaktree Court,ealing,50,"[51.514864,-0.272706]",Housing Association?,,,,,,estates/src/images/oaktreecourt.png
,
Northumberland Park estates,haringey,1027,"[51.604419,-0.058280]",Haringey Council,,,PPCR,Required,Pending,estates/src/images/northumberland2.jpg
,
Norman Crescent estate,hounslow,300,"[51.481943,-0.393027]",Hounslow Council,,,,Required,Pending,estates/src/images/nc4.jpg
,
New Avenue estate,enfield,171,"[51.639810,-0.135530]",Enfield Council,Countryside Properties,,PPCR,Exempt,Approved,estates/src/images/newavenue.jpg
,
Neville Close estate,ealing,50,"[51.505661,-0.266707]",Ealing Council,,,,,,estates/src/images/nevilleclose.png
,
Morden Regeneration Zone,merton,200,"[51.402088, -0.192285]",LB Merton,,,,Exempt?,,estates/src/images/mordenregenerationzone.png
,
Fred Wigg and John Walsh Towers,walthamforest,200,"[51.560912,-0.013773]",Waltham Forest Council,,,,Required,,estates/src/images/FW_JW5.jpg
,
Milford Towers,lewisham,276,"[51.446550,-0.022020]",Lewisham Council,,,,Required,Pending,estates/src/images/mtowers2.png
,
Edmonton Green Shopping Centre,enfield,350,"[51.623503,-0.057982]",Metropolitan Thames Valley,,,,,,estates/src/images/mendippenine.png
,
Medlar Farm estate,ealing,500,"[51.535476,-0.389080]",LB Ealing,,,,,,estates/src/images/medlarfarm.png
,
Maygreen Crescent estate,havering,150,"[51.566629,0.193681]",Havering Council,Wates,,TPAS,Required,Pending,estates/src/images/mg1.jpg
,
Maydew House (Abbeyfield estate),southwark,144,"[51.493029,-0.056187]",Southwark Council,Southwark Council,,,Exempt,Pending,estates/src/images/maydewmd.jpg
,
Maryon Grove estate,greenwich,172,"[51.487680,0.049174]",Greenwich Council,Lovell,Pollard Thomas Edwards,,Required,Approved,estates/src/images/mw7.png
,
Marlowe Road estate,walthamforest,150,"[51.587181,-0.006070]",Waltham Forest Council,,,,Exempt,Approved,estates/src/images/001.jpg
,
